"Year","Point_Estimate","Initial_Estimate","Bias","Standard_Error","Lower_Bound_CI","Upper_Bound_CI","Rate_Type"
2005,30.2593520314878,30.2652572215936,-0.00590519010580337,1.40198174066092,27.433958084331,33.094682308433,"Veteran"
2006,28.9592673932581,29.0517448097308,-0.0924774164727218,1.41634307772623,26.0790602714319,31.7166540854784,"Veteran"
2007,31.3626941701957,31.3168151935498,0.0458789766458771,1.50554385827263,28.2620351591925,34.4382627243262,"Veteran"
2008,32.85159724906,32.8287516324944,0.0228456165656041,1.53770955708133,29.8521370758485,36.0535154794526,"Veteran"
2009,34.1415958110606,34.2081788770991,-0.0665830660385041,1.47182414938406,31.261363122631,37.0118366310203,"Veteran"
2010,35.4117374842872,35.395411437574,0.0163260467132176,1.54073308493345,32.4263021050719,38.4822228332132,"Veteran"
2011,35.6669060455542,35.6882928833982,-0.0213868378440054,1.39997800785281,32.8180423787085,38.1602340742624,"Veteran"
2005,15.4405141055414,15.4625292516696,-0.0220151461281901,0.59223073804998,14.2584753363454,16.642033075612,"Civilian"
2006,15.3137316357267,15.33858129867,-0.0248496629432822,0.598096450291836,14.1822150832611,16.5827861279267,"Civilian"
2007,15.5378577115705,15.5010312613245,0.0368264502460374,0.560366439767279,14.5117310441752,16.7083546457818,"Civilian"
2008,16.1206210957796,16.1220833204347,-0.00146222465503243,0.632413180827119,14.9762592851448,17.4573772404708,"Civilian"
2009,16.1397813676835,16.1227740595621,0.0170073081214461,0.583910932248311,15.0008974006286,17.3304190030306,"Civilian"
2010,16.8962567221362,16.8997969592817,-0.00354023714544383,0.598094769959094,15.7042917163656,18.1622414901472,"Civilian"
2011,16.7082941471709,16.6999399790051,0.0083541681658339,0.598246087344316,15.5612883395732,17.8725149205868,"Civilian"
